id,u_dise_code,psp_code,aadhar_number,student_name,father_name,mother_name,dob,gender,social_category,religion,mother_tongue,rural_urban,habitation_or_locality,date_of_admission,admission_number,belong_to_bpl,belong_to_disadvantaged_group,getting_free_education,studying_in_class,class_studied_in_prev_year,status_of_previous_year,days_child_attended_school,medium_of_instruction,type_of_disablity,facilities_received_by_cwsn,no_of_uniform_sets,free_text_books,free_transport,free_escort,mdm_beneficiary,free_hostel_facility,child_attended_special_training,child_is_homeless,appeard,passed,percentage_marks,stream_grades_11_n_12,trade_sector_grades_9_to_12,iron_n_folic_acid,deworming_tablets,vitamin_a_supplement,mobile_number,email_address,free_bicycle
1,9828784536,101,4.66E+13,Dinesh Salvi ,Preshita Rao ,Ajay Dhar ,4/7/1995,BOY,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1001,YES,YES,NOT APPLIC,PP.3+,NONE,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
2,9828784536,102,8.73E+11,Arjun Ray ,Usman Lala ,Baber Chaudhuri ,4/7/1995,BOY,SC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1002,YES,YES,NOT APPLIC,PP.3+,NONE,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
3,9828784536,103,8.73E+11,Radha Jacob ,Abdul Iyer ,Aslam Pandey ,4/7/1995,BOY,OBC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1003,YES,YES,NOT APPLIC,PP.5+,PP.4+,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
4,9828784536,104,8.73E+11,Sweta Peri ,Kim Ramaswamy ,Sunita Kohli ,4/7/1995,BOY,SBC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1004,YES,YES,NOT APPLIC,PP.5+,PP.4+,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
5,9828784536,105,8.73E+11,Abdul Master ,Kim Basu ,Jayshree Nayar ,4/7/1995,GIRL,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1005,YES,YES,NOT APPLIC,PP.4+,PP.3+,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
6,9828784536,106,8.73E+11,Anjana Mohanty ,Nitin Sem ,Mehul Das ,4/7/1995,GIRL,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1006,YES,YES,NOT APPLIC,PP.4+,PP.3+,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
7,9828784536,107,8.73E+11,Ananya Sane ,Govind Master ,Prabhat Khosla ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1007,YES,YES,NOT APPLIC,1,PP.5+,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
8,9828784536,108,8.73E+11,Bagwati Palan ,Akhil Mathew ,Anshu Goyal ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1008,YES,YES,NOT APPLIC,2,1,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
9,9828784536,109,8.73E+11,Ghanshyam Kumar ,Aditya Malpani ,Aisha Hora ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1009,YES,YES,NOT APPLIC,3,2,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
10,9828784536,110,8.73E+11,Jobin Jha ,Nishi Pai ,Deepesh Munshi ,4/7/1995,BOY,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1010,YES,YES,NOT APPLIC,4,3,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
